venue_id,name,city,state,country,capacity,venue_type,address,postal_code,created_at,updated_at
ven_000032,Royal Louisville Club,Louisville,KY,USA,262,club,7143 Center St,60886,2025-11-17T02:43:33.086662,2025-11-17T02:43:33.086662
ven_000033,Albuquerque Palace,Albuquerque,NM,USA,5135,amphitheater,7898 Broadway,44315,2025-11-17T02:43:33.086666,2025-11-17T02:43:33.086666
ven_000034,Miami Stadium,Miami,FL,USA,155,club,7184 Market St,93767,2025-11-17T02:43:33.086670,2025-11-17T02:43:33.086670
ven_000035,Imperial Detroit Hall,Detroit,MI,USA,257,club,3329 Center St,67610,2025-11-17T02:43:33.086674,2025-11-17T02:43:33.086674
ven_000036,Majestic Tampa Arena,Tampa,FL,USA,5044,arena,4634 Park Ave,13120,2025-11-17T02:43:33.086677,2025-11-17T02:43:33.086677
ven_000037,Uptown Louisville Hall,Louisville,KY,USA,19954,arena,6708 Market St,51788,2025-11-17T02:43:33.086681,2025-11-17T02:43:33.086681
ven_000038,Classic Philadelphia Pavilion,Philadelphia,PA,USA,13136,arena,8087 Center St,81522,2025-11-17T02:43:33.086685,2025-11-17T02:43:33.086685
ven_000039,The Wichita Theater,Wichita,KS,USA,3444,hall,4176 Main St,65475,2025-11-17T02:43:33.086689,2025-11-17T02:43:33.086689
ven_000040,Kansas City House,Kansas City,MO,USA,13039,amphitheater,4220 Market St,31590,2025-11-17T02:43:33.086693,2025-11-17T02:43:33.086693
ven_000041,Metro Philadelphia Auditorium,Philadelphia,PA,USA,47175,stadium,6448 Center St,14439,2025-11-17T02:43:33.086697,2025-11-17T02:43:33.086697
ven_000042,Modern San Jose Amphitheater,San Jose,CA,USA,674,theater,4948 Market St,68559,2025-11-17T02:43:33.086701,2025-11-17T02:43:33.086701
ven_000043,Downtown Albuquerque Palace,Albuquerque,NM,USA,7890,amphitheater,7875 Broadway,99569,2025-11-17T02:43:33.086709,2025-11-17T02:43:33.086709
ven_000044,Atlanta Arena,Atlanta,GA,USA,475,club,6749 Park Ave,21255,2025-11-17T02:43:33.086713,2025-11-17T02:43:33.086713
ven_000045,Imperial Phoenix Auditorium,Phoenix,AZ,USA,38605,stadium,9322 Broadway,85492,2025-11-17T02:43:33.086718,2025-11-17T02:43:33.086718
ven_000046,Royal Seattle Arena,Seattle,WA,USA,7201,amphitheater,1348 Main St,64244,2025-11-17T02:43:33.086722,2025-11-17T02:43:33.086722
ven_000047,Majestic Tampa Center,Tampa,FL,USA,13822,arena,8185 Center St,19633,2025-11-17T02:43:33.086726,2025-11-17T02:43:33.086726
ven_000048,Imperial Raleigh House,Raleigh,NC,USA,57500,stadium,1416 Main St,65540,2025-11-17T02:43:33.086730,2025-11-17T02:43:33.086730
ven_000049,Philadelphia Amphitheater,Philadelphia,PA,USA,6343,amphitheater,4806 Park Ave,25259,2025-11-17T02:43:33.086733,2025-11-17T02:43:33.086733
ven_000050,Wichita Stadium,Wichita,KS,USA,15064,arena,8437 Park Ave,77965,2025-11-17T02:43:33.086737,2025-11-17T02:43:33.086737
ven_000051,Imperial Denver Pavilion,Denver,CO,USA,23077,stadium,8498 Market St,20170,2025-11-17T02:43:33.086741,2025-11-17T02:43:33.086741
ven_000052,Uptown Kansas City Arena,Kansas City,MO,USA,4328,amphitheater,3821 Market St,91238,2025-11-17T02:43:33.086744,2025-11-17T02:43:33.086744
ven_000053,Denver Amphitheater,Denver,CO,USA,1985,theater,5968 Broadway,50637,2025-11-17T02:43:33.086748,2025-11-17T02:43:33.086748
ven_000054,Imperial Milwaukee Club,Milwaukee,WI,USA,3525,hall,9345 Park Ave,18364,2025-11-17T02:43:33.086752,2025-11-17T02:43:33.086752
ven_000055,Uptown Charlotte Hall,Charlotte,NC,USA,3631,hall,1174 Broadway,18759,2025-11-17T02:43:33.086755,2025-11-17T02:43:33.086755
ven_000056,Omaha House,Omaha,NE,USA,13144,amphitheater,1523 Center St,79044,2025-11-17T02:43:33.086759,2025-11-17T02:43:33.086759
ven_000057,Grand Columbus House,Columbus,OH,USA,5141,amphitheater,1597 Market St,43698,2025-11-17T02:43:33.086763,2025-11-17T02:43:33.086763
ven_000058,Uptown Charlotte House,Charlotte,NC,USA,49789,stadium,780 Broadway,52454,2025-11-17T02:43:33.086766,2025-11-17T02:43:33.086767
ven_000059,Louisville Venue,Louisville,KY,USA,767,theater,500 Market St,11790,2025-11-17T02:43:33.086771,2025-11-17T02:43:33.086771
ven_000060,The Mesa House,Mesa,AZ,USA,418,club,6313 Center St,99762,2025-11-17T02:43:33.086776,2025-11-17T02:43:33.086777
ven_000061,Metro San Francisco Auditorium,San Francisco,CA,USA,1264,theater,7394 Broadway,89448,2025-11-17T02:43:33.086780,2025-11-17T02:43:33.086781
ven_000062,Phoenix Hall,Phoenix,AZ,USA,67645,stadium,637 Broadway,21055,2025-11-17T02:43:33.086786,2025-11-17T02:43:33.086786
ven_000063,Colorado Springs Amphitheater,Colorado Springs,CO,USA,6171,amphitheater,8825 Center St,23580,2025-11-17T02:43:33.086790,2025-11-17T02:43:33.086790
ven_000064,Uptown Fort Worth House,Fort Worth,TX,USA,32714,stadium,6365 Park Ave,65026,2025-11-17T02:43:33.086794,2025-11-17T02:43:33.086794
ven_000065,The Fort Worth House,Fort Worth,TX,USA,416,club,4966 Market St,14230,2025-11-17T02:43:33.086798,2025-11-17T02:43:33.086798
ven_000066,Portland Venue,Portland,OR,USA,3328,hall,7402 Broadway,88174,2025-11-17T02:43:33.086802,2025-11-17T02:43:33.086802
ven_000067,Royal Tulsa Arena,Tulsa,OK,USA,62994,stadium,4303 Main St,20056,2025-11-17T02:43:33.086806,2025-11-17T02:43:33.086806
ven_000068,Metro Nashville Center,Nashville,TN,USA,5929,arena,460 Park Ave,64504,2025-11-17T02:43:33.086810,2025-11-17T02:43:33.086810
ven_000069,Central Atlanta Arena,Atlanta,GA,USA,1504,hall,520 Broadway,59990,2025-11-17T02:43:33.086814,2025-11-17T02:43:33.086814
ven_000070,Downtown Wichita Theater,Wichita,KS,USA,6457,amphitheater,9747 Park Ave,56355,2025-11-17T02:43:33.086817,2025-11-17T02:43:33.086818
ven_000071,Uptown Memphis Amphitheater,Memphis,TN,USA,1484,theater,7664 Center St,86026,2025-11-17T02:43:33.086821,2025-11-17T02:43:33.086821
ven_000072,Majestic Baltimore Stadium,Baltimore,MD,USA,4720,hall,8118 Broadway,52879,2025-11-17T02:43:33.086825,2025-11-17T02:43:33.086825
ven_000073,Grand Honolulu Venue,Honolulu,HI,USA,427,club,4047 Center St,37524,2025-11-17T02:43:33.086829,2025-11-17T02:43:33.086829
ven_000074,Classic Tucson Club,Tucson,AZ,USA,1622,theater,8245 Main St,19635,2025-11-17T02:43:33.086833,2025-11-17T02:43:33.086833
ven_000075,Imperial New York Palace,New York,NY,USA,11017,amphitheater,5394 Market St,36254,2025-11-17T02:43:33.086837,2025-11-17T02:43:33.086837
ven_000076,San Diego Pavilion,San Diego,CA,USA,1065,hall,9749 Market St,22926,2025-11-17T02:43:33.086848,2025-11-17T02:43:33.086848
ven_000077,Imperial Seattle Auditorium,Seattle,WA,USA,223,club,4918 Main St,96097,2025-11-17T02:43:33.086852,2025-11-17T02:43:33.086852
ven_000078,Uptown Washington Pavilion,Washington,DC,USA,53710,stadium,8446 Center St,36931,2025-11-17T02:43:33.086856,2025-11-17T02:43:33.086856
ven_000079,Majestic Dallas Venue,Dallas,TX,USA,2015,hall,2157 Market St,40706,2025-11-17T02:43:33.086860,2025-11-17T02:43:33.086860
ven_000080,Royal St. Louis Hall,St. Louis,MO,USA,20917,stadium,3986 Market St,52607,2025-11-17T02:43:33.086864,2025-11-17T02:43:33.086864
ven_000081,San Jose Amphitheater,San Jose,CA,USA,7549,arena,3455 Park Ave,27668,2025-11-17T02:43:33.086868,2025-11-17T02:43:33.086868
ven_000082,Miami House,Miami,FL,USA,3379,amphitheater,5417 Main St,32628,2025-11-17T02:43:33.086871,2025-11-17T02:43:33.086871
ven_000083,Classic San Francisco Palace,San Francisco,CA,USA,29514,stadium,1016 Broadway,43220,2025-11-17T02:43:33.086875,2025-11-17T02:43:33.086875
ven_000084,Grand New Orleans Stadium,New Orleans,LA,USA,361,club,493 Market St,31469,2025-11-17T02:43:33.086879,2025-11-17T02:43:33.086879
ven_000085,Portland Venue,Portland,OR,USA,1196,theater,115 Center St,61034,2025-11-17T02:43:33.086884,2025-11-17T02:43:33.086884
ven_000086,Imperial Tucson Club,Tucson,AZ,USA,1362,theater,2166 Center St,49821,2025-11-17T02:43:33.086888,2025-11-17T02:43:33.086888
ven_000087,Classic Tulsa Hall,Tulsa,OK,USA,6099,amphitheater,5986 Park Ave,45969,2025-11-17T02:43:33.086893,2025-11-17T02:43:33.086893
ven_000088,Majestic Dallas Palace,Dallas,TX,USA,1594,theater,1260 Main St,48823,2025-11-17T02:43:33.086897,2025-11-17T02:43:33.086897
ven_000089,Modern Milwaukee Auditorium,Milwaukee,WI,USA,37521,stadium,7073 Main St,58681,2025-11-17T02:43:33.086901,2025-11-17T02:43:33.086901
ven_000090,Majestic Tampa Arena,Tampa,FL,USA,4285,hall,8933 Main St,90082,2025-11-17T02:43:33.086904,2025-11-17T02:43:33.086904
ven_000091,Metro San Jose House,San Jose,CA,USA,41237,stadium,7645 Broadway,69401,2025-11-17T02:43:33.086908,2025-11-17T02:43:33.086908
ven_000092,Classic Los Angeles Amphitheater,Los Angeles,CA,USA,1471,theater,8821 Broadway,92154,2025-11-17T02:43:33.086911,2025-11-17T02:43:33.086912
ven_000093,Royal Wichita Venue,Wichita,KS,USA,28062,stadium,9711 Park Ave,16165,2025-11-17T02:43:33.086915,2025-11-17T02:43:33.086915
ven_000094,Classic Washington Club,Washington,DC,USA,6470,amphitheater,456 Broadway,73552,2025-11-17T02:43:33.086919,2025-11-17T02:43:33.086919
ven_000095,Metro Baltimore Stadium,Baltimore,MD,USA,45092,stadium,5888 Market St,60390,2025-11-17T02:43:33.086923,2025-11-17T02:43:33.086923
ven_000096,Baltimore Stadium,Baltimore,MD,USA,53203,stadium,4337 Market St,28318,2025-11-17T02:43:33.086926,2025-11-17T02:43:33.086926
ven_000097,Classic Fresno Arena,Fresno,CA,USA,10442,amphitheater,916 Broadway,56770,2025-11-17T02:43:33.086929,2025-11-17T02:43:33.086929
ven_000098,Imperial Nashville Amphitheater,Nashville,TN,USA,7770,arena,2134 Main St,16087,2025-11-17T02:43:33.086933,2025-11-17T02:43:33.086933
ven_000099,Metro Chicago Auditorium,Chicago,IL,USA,2845,hall,2851 Main St,70624,2025-11-17T02:43:33.086941,2025-11-17T02:43:33.086941
ven_000100,Modern Denver Amphitheater,Denver,CO,USA,234,club,8860 Main St,73809,2025-11-17T02:43:33.086944,2025-11-17T02:43:33.086944
ven_000101,Imperial Tampa Club,Tampa,FL,USA,298,club,8949 Center St,33645,2025-11-17T02:43:33.086948,2025-11-17T02:43:33.086948
ven_000102,Uptown Colorado Springs Arena,Colorado Springs,CO,USA,304,club,1868 Center St,46418,2025-11-17T02:43:33.086951,2025-11-17T02:43:33.086951
ven_000103,Majestic Raleigh Hall,Raleigh,NC,USA,9309,amphitheater,4442 Park Ave,41525,2025-11-17T02:43:33.086955,2025-11-17T02:43:33.086955
ven_000104,Grand Honolulu Club,Honolulu,HI,USA,16282,arena,5448 Park Ave,44634,2025-11-17T02:43:33.086958,2025-11-17T02:43:33.086958
ven_000105,Royal Tulsa House,Tulsa,OK,USA,2440,hall,5545 Main St,65331,2025-11-17T02:43:33.086962,2025-11-17T02:43:33.086962
ven_000106,Majestic San Francisco Palace,San Francisco,CA,USA,1101,theater,6273 Center St,54160,2025-11-17T02:43:33.086965,2025-11-17T02:43:33.086965
ven_000107,Denver House,Denver,CO,USA,199,club,4708 Main St,99989,2025-11-17T02:43:33.086970,2025-11-17T02:43:33.086970
ven_000108,Royal New Orleans Pavilion,New Orleans,LA,USA,1802,theater,4899 Center St,31851,2025-11-17T02:43:33.086973,2025-11-17T02:43:33.086973
ven_000109,San Antonio Pavilion,San Antonio,TX,USA,6339,arena,5053 Broadway,61112,2025-11-17T02:43:33.086977,2025-11-17T02:43:33.086977
ven_000110,Downtown Cleveland Center,Cleveland,OH,USA,11865,amphitheater,1883 Broadway,31296,2025-11-17T02:43:33.086981,2025-11-17T02:43:33.086981
ven_000111,San Jose Arena,San Jose,CA,USA,3143,amphitheater,8200 Center St,24894,2025-11-17T02:43:33.086984,2025-11-17T02:43:33.086984
ven_000112,Imperial Fort Worth Arena,Fort Worth,TX,USA,279,club,1289 Park Ave,84605,2025-11-17T02:43:33.086987,2025-11-17T02:43:33.086987
ven_000113,Modern New York Stadium,New York,NY,USA,5735,arena,7409 Main St,30915,2025-11-17T02:43:33.086991,2025-11-17T02:43:33.086991
ven_000114,Royal Wichita Palace,Wichita,KS,USA,416,club,28 Center St,87581,2025-11-17T02:43:33.086994,2025-11-17T02:43:33.086994
ven_000115,Uptown Columbus Venue,Columbus,OH,USA,8945,arena,6972 Main St,41647,2025-11-17T02:43:33.086998,2025-11-17T02:43:33.086998
ven_000116,Royal St. Louis Amphitheater,St. Louis,MO,USA,421,club,5729 Market St,92532,2025-11-17T02:43:33.087001,2025-11-17T02:43:33.087001
ven_000117,San Diego Auditorium,San Diego,CA,USA,5842,amphitheater,1824 Broadway,33543,2025-11-17T02:43:33.087004,2025-11-17T02:43:33.087004
ven_000118,Imperial Colorado Springs Auditorium,Colorado Springs,CO,USA,1067,theater,4945 Market St,41466,2025-11-17T02:43:33.087008,2025-11-17T02:43:33.087008
ven_000119,Royal Phoenix Center,Phoenix,AZ,USA,8530,arena,434 Center St,77047,2025-11-17T02:43:33.087011,2025-11-17T02:43:33.087012
ven_000120,Washington Stadium,Washington,DC,USA,365,club,7309 Market St,73752,2025-11-17T02:43:33.087015,2025-11-17T02:43:33.087015
ven_000121,Uptown Denver Theater,Denver,CO,USA,28198,stadium,6322 Park Ave,95320,2025-11-17T02:43:33.087018,2025-11-17T02:43:33.087018
ven_000122,Uptown Portland Stadium,Portland,OR,USA,309,club,7430 Center St,56341,2025-11-17T02:43:33.087022,2025-11-17T02:43:33.087022
ven_000123,Classic St. Louis Auditorium,St. Louis,MO,USA,64581,stadium,9826 Broadway,48885,2025-11-17T02:43:33.087025,2025-11-17T02:43:33.087025
ven_000124,Royal San Antonio Palace,San Antonio,TX,USA,254,club,3497 Park Ave,46334,2025-11-17T02:43:33.087029,2025-11-17T02:43:33.087029
ven_000125,Raleigh Auditorium,Raleigh,NC,USA,19088,arena,4356 Center St,38374,2025-11-17T02:43:33.087032,2025-11-17T02:43:33.087032
ven_000126,Modern Mesa Club,Mesa,AZ,USA,61712,stadium,7949 Main St,37215,2025-11-17T02:43:33.087035,2025-11-17T02:43:33.087035
ven_000127,Royal St. Louis Palace,St. Louis,MO,USA,183,club,7940 Park Ave,25495,2025-11-17T02:43:33.087039,2025-11-17T02:43:33.087039
ven_000128,Imperial Kansas City Hall,Kansas City,MO,USA,1404,theater,5176 Market St,86151,2025-11-17T02:43:33.087042,2025-11-17T02:43:33.087043
ven_000129,Majestic Oakland Pavilion,Oakland,CA,USA,259,club,5704 Market St,37438,2025-11-17T02:43:33.087046,2025-11-17T02:43:33.087046
ven_000130,Central Tampa Stadium,Tampa,FL,USA,50574,stadium,5944 Main St,30182,2025-11-17T02:43:33.087050,2025-11-17T02:43:33.087050
ven_000131,Memphis Stadium,Memphis,TN,USA,796,theater,5771 Market St,59161,2025-11-17T02:43:33.087053,2025-11-17T02:43:33.087053
ven_000132,Majestic Austin Club,Austin,TX,USA,1110,hall,74 Park Ave,88651,2025-11-17T02:43:33.087058,2025-11-17T02:43:33.087058
ven_000133,Columbus Venue,Columbus,OH,USA,12965,amphitheater,1654 Main St,63083,2025-11-17T02:43:33.087061,2025-11-17T02:43:33.087062
ven_000134,Imperial New York Arena,New York,NY,USA,2977,hall,2830 Center St,34516,2025-11-17T02:43:33.087065,2025-11-17T02:43:33.087065
ven_000135,Grand Raleigh Center,Raleigh,NC,USA,2565,hall,2729 Main St,44817,2025-11-17T02:43:33.087068,2025-11-17T02:43:33.087068
ven_000136,Modern Nashville Amphitheater,Nashville,TN,USA,3577,hall,8957 Main St,51744,2025-11-17T02:43:33.087073,2025-11-17T02:43:33.087073
ven_000137,Majestic Oakland Center,Oakland,CA,USA,1416,theater,1882 Market St,44188,2025-11-17T02:43:33.087077,2025-11-17T02:43:33.087077
ven_000138,Detroit Pavilion,Detroit,MI,USA,35039,stadium,7840 Broadway,41018,2025-11-17T02:43:33.087081,2025-11-17T02:43:33.087081
ven_000139,Uptown Los Angeles Club,Los Angeles,CA,USA,70866,stadium,5095 Main St,43184,2025-11-17T02:43:33.087086,2025-11-17T02:43:33.087086
ven_000140,Downtown Indianapolis House,Indianapolis,IN,USA,1827,theater,778 Park Ave,98339,2025-11-17T02:43:33.087089,2025-11-17T02:43:33.087089
ven_000141,Central Sacramento Arena,Sacramento,CA,USA,31768,stadium,746 Market St,21091,2025-11-17T02:43:33.087093,2025-11-17T02:43:33.087093
ven_000142,Grand Phoenix House,Phoenix,AZ,USA,19041,arena,2595 Park Ave,64518,2025-11-17T02:43:33.087096,2025-11-17T02:43:33.087096
ven_000143,Phoenix Pavilion,Phoenix,AZ,USA,26069,stadium,1612 Park Ave,14907,2025-11-17T02:43:33.087100,2025-11-17T02:43:33.087100
ven_000144,Modern Boston Stadium,Boston,MA,USA,36364,stadium,7886 Main St,54872,2025-11-17T02:43:33.087103,2025-11-17T02:43:33.087103
ven_000145,Majestic Tucson Stadium,Tucson,AZ,USA,14901,arena,8567 Park Ave,36289,2025-11-17T02:43:33.087106,2025-11-17T02:43:33.087107
ven_000146,Modern Charlotte Stadium,Charlotte,NC,USA,249,club,2297 Market St,79586,2025-11-17T02:43:33.087110,2025-11-17T02:43:33.087110
ven_000147,Majestic Atlanta Theater,Atlanta,GA,USA,62471,stadium,3025 Center St,45204,2025-11-17T02:43:33.087114,2025-11-17T02:43:33.087114
ven_000148,The Los Angeles Stadium,Los Angeles,CA,USA,7804,arena,7002 Market St,49012,2025-11-17T02:43:33.087117,2025-11-17T02:43:33.087117
ven_000149,Classic Dallas Amphitheater,Dallas,TX,USA,11948,amphitheater,8253 Market St,71154,2025-11-17T02:43:33.087121,2025-11-17T02:43:33.087121
ven_000150,Classic New Orleans Palace,New Orleans,LA,USA,14133,arena,432 Broadway,53017,2025-11-17T02:43:33.087124,2025-11-17T02:43:33.087124
ven_000151,Majestic Jacksonville Auditorium 0,Jacksonville,FL,USA,580,theater,2043 Market St,89722,2025-11-17T02:43:33.087128,2025-11-17T02:43:33.087128
ven_000152,Modern Honolulu Venue 1,Honolulu,HI,USA,17021,arena,4750 Market St,57321,2025-11-17T02:43:33.087162,2025-11-17T02:43:33.087162
ven_000153,Uptown Cleveland Arena 2,Cleveland,OH,USA,1254,theater,2304 Main St,81001,2025-11-17T02:43:33.087166,2025-11-17T02:43:33.087166
ven_000154,Uptown Dallas Center 3,Dallas,TX,USA,1998,theater,3222 Center St,13395,2025-11-17T02:43:33.087170,2025-11-17T02:43:33.087170
ven_000155,Imperial Kansas City Hall 4,Kansas City,MO,USA,5949,amphitheater,6100 Main St,92880,2025-11-17T02:43:33.087174,2025-11-17T02:43:33.087174
ven_000156,Modern Jacksonville Stadium 5,Jacksonville,FL,USA,17075,arena,9241 Main St,59591,2025-11-17T02:43:33.087178,2025-11-17T02:43:33.087178
ven_000157,Royal Kansas City Center 6,Kansas City,MO,USA,5570,arena,358 Center St,47690,2025-11-17T02:43:33.087182,2025-11-17T02:43:33.087182
ven_000158,Uptown Portland House 7,Portland,OR,USA,1985,hall,1808 Market St,48307,2025-11-17T02:43:33.087185,2025-11-17T02:43:33.087186
ven_000159,Metro Seattle House 8,Seattle,WA,USA,190,club,1249 Park Ave,72396,2025-11-17T02:43:33.087189,2025-11-17T02:43:33.087189
ven_000160,Memphis Club 9,Memphis,TN,USA,5721,amphitheater,7703 Park Ave,62712,2025-11-17T02:43:33.087193,2025-11-17T02:43:33.087193
ven_000161,Central Philadelphia Theater 0,Philadelphia,PA,USA,7423,amphitheater,7722 Park Ave,91681,2025-11-17T02:43:33.087197,2025-11-17T02:43:33.087197
ven_000162,San Antonio Amphitheater 1,San Antonio,TX,USA,1819,theater,4618 Market St,33589,2025-11-17T02:43:33.087201,2025-11-17T02:43:33.087201
ven_000163,Classic San Antonio Hall 2,San Antonio,TX,USA,18709,arena,5112 Park Ave,47989,2025-11-17T02:43:33.087205,2025-11-17T02:43:33.087205
ven_000164,Downtown Fort Worth Palace 3,Fort Worth,TX,USA,4834,hall,2032 Park Ave,40030,2025-11-17T02:43:33.087208,2025-11-17T02:43:33.087209
ven_000165,Houston Stadium 4,Houston,TX,USA,201,club,4186 Park Ave,95948,2025-11-17T02:43:33.087212,2025-11-17T02:43:33.087212
ven_000166,Mesa Arena 5,Mesa,AZ,USA,13165,arena,1819 Market St,40430,2025-11-17T02:43:33.087216,2025-11-17T02:43:33.087216
ven_000167,Metro New York Pavilion 6,New York,NY,USA,47942,stadium,7858 Center St,34265,2025-11-17T02:43:33.087220,2025-11-17T02:43:33.087220
ven_000168,Central Austin Arena 7,Austin,TX,USA,11197,arena,7379 Center St,22851,2025-11-17T02:43:33.087224,2025-11-17T02:43:33.087224
ven_000169,Royal Boston Hall 8,Boston,MA,USA,132,club,9930 Center St,38878,2025-11-17T02:43:33.087230,2025-11-17T02:43:33.087230
ven_000170,Uptown Tucson Club 9,Tucson,AZ,USA,25129,stadium,203 Park Ave,69936,2025-11-17T02:43:33.087235,2025-11-17T02:43:33.087235
ven_000171,Grand Boston Amphitheater 0,Boston,MA,USA,15789,arena,5254 Park Ave,86026,2025-11-17T02:43:33.087239,2025-11-17T02:43:33.087239
ven_000172,Detroit Palace 1,Detroit,MI,USA,6812,arena,9401 Market St,80982,2025-11-17T02:43:33.087243,2025-11-17T02:43:33.087243
ven_000173,Metro Detroit Theater 2,Detroit,MI,USA,47232,stadium,7746 Park Ave,19222,2025-11-17T02:43:33.087247,2025-11-17T02:43:33.087247
ven_000174,Central Seattle Amphitheater 3,Seattle,WA,USA,12250,arena,1074 Main St,27414,2025-11-17T02:43:33.087252,2025-11-17T02:43:33.087252
ven_000175,Imperial Indianapolis Theater 4,Indianapolis,IN,USA,1598,theater,697 Park Ave,63915,2025-11-17T02:43:33.087255,2025-11-17T02:43:33.087255
ven_000176,Central Oakland Center 5,Oakland,CA,USA,30446,stadium,5795 Main St,29169,2025-11-17T02:43:33.087259,2025-11-17T02:43:33.087259
ven_000177,Classic Oakland Club 6,Oakland,CA,USA,14427,amphitheater,5083 Main St,85123,2025-11-17T02:43:33.087263,2025-11-17T02:43:33.087263
ven_000178,Honolulu Club 7,Honolulu,HI,USA,395,club,4983 Park Ave,81707,2025-11-17T02:43:33.087267,2025-11-17T02:43:33.087267
